id,name,gender,DOB,MaritalStatus,CreditCardType
1,Damaris,Female,1973-02-18,false,visa-electron
2,Barbe,Female,1969-04-10,true,americanexpress
3,Belia,Female,1960-04-16,false,maestro
4,Leoline,Female,1995-01-19,true,bankcard
5,Valentine,Female,1992-04-16,false,
6,Rosanne,Female,1985-01-05,true,bankcard
7,Shalna,Female,1956-11-01,false,jcb
8,Mordy,Male,1990-03-27,true,china-unionpay
9,Tristan,Male,1998-10-05,true,
10,Alphonso,Male,1992-08-10,false,mastercard
11,Hirsch,Male,1973-02-13,false,
12,Kirstyn,Female,1989-06-28,false,bankcard
13,Benson,Male,1959-10-19,true,switch
14,Florry,Female,1993-11-11,true,diners-club-international
15,Jenine,Female,1957-02-16,false,diners-club-enroute
16,Hortense,Female,1993-12-17,false,jcb
17,Zulema,Female,1990-09-27,false,jcb
18,Leoline,Female,1990-02-02,false,visa-electron
19,Bayard,Male,1997-01-11,false,jcb
20,Joanne,Female,1996-02-01,false,maestro
21,Marlee,Female,1994-11-28,false,
22,Mitchell,Male,1993-03-09,false,maestro
23,Jefferey,Male,1999-09-19,false,jcb
24,Jolee,Female,1951-04-14,false,jcb
25,Selma,Female,1958-08-14,false,mastercard
26,Pavlov,Male,1971-12-24,true,jcb
27,Willi,Male,1999-09-29,false,diners-club-enroute
28,Vi,Female,1988-09-25,false,laser
29,Teodoro,Male,1969-03-02,false,jcb
30,Loralyn,Female,1953-11-27,false,
31,Carlen,Female,1964-08-01,true,jcb
32,Walden,Male,1968-10-27,false,jcb
33,Phillie,Female,1976-09-07,false,diners-club-enroute
34,Dicky,Male,1956-06-15,true,
35,Antonietta,Female,1986-05-01,false,americanexpress
36,Natasha,Female,1952-01-15,true,diners-club-enroute
37,Tadeas,Male,1973-10-12,false,jcb
38,Vyky,Female,1986-08-03,false,maestro
39,Estevan,Male,1966-08-22,false,jcb
40,Andrey,Male,1952-11-18,false,diners-club-enroute
41,Leonidas,Male,1972-01-28,true,maestro
42,Blinnie,Female,1957-08-22,false,
43,Randolf,Male,1951-04-23,false,bankcard
44,Maurene,Female,1975-08-04,true,jcb
45,Sky,Male,1991-06-08,true,laser
46,Kaspar,Male,1981-12-06,false,
47,Noll,Male,1957-01-26,true,mastercard
48,Haley,Male,1980-11-10,true,diners-club-carte-blanche
49,Orran,Male,1977-07-15,true,jcb
50,Jonas,Male,1976-01-07,true,diners-club-carte-blanche
51,Flori,Female,1978-01-12,false,china-unionpay
52,Casey,Male,1988-03-21,false,jcb
53,Candie,Female,1963-06-12,false,maestro
54,Marve,Male,1998-07-26,false,
55,Corette,Female,1972-08-27,true,jcb
56,Christy,Female,1995-07-14,true,china-unionpay
57,Ronnica,Female,1986-05-31,false,diners-club-enroute
58,Augy,Male,1966-11-25,true,jcb
59,Cori,Male,1969-03-27,true,mastercard
60,Boigie,Male,1989-06-30,true,jcb
61,Isac,Male,1957-06-23,true,bankcard
62,Sigismond,Male,1951-06-17,true,
63,Steffie,Female,1998-10-28,false,jcb
64,Mario,Male,1989-06-22,false,jcb
65,Halli,Female,1959-06-16,true,diners-club-enroute
66,Nada,Female,2000-08-23,true,jcb
67,Jeanne,Female,1987-11-16,true,laser
68,Jess,Female,1962-07-26,true,mastercard
69,Lyda,Female,1970-03-17,false,
70,Jobyna,Female,1967-09-15,true,diners-club-enroute
71,Jaclyn,Female,1999-04-29,true,switch
72,Sibel,Female,1981-08-16,false,jcb
73,Dodi,Female,1995-10-02,true,americanexpress
74,Eydie,Female,1979-06-23,false,jcb
75,Gauthier,Male,1967-02-11,true,
76,Mala,Female,1995-11-21,true,visa-electron
77,Lorelei,Female,2000-12-18,false,americanexpress
78,Marillin,Female,1973-12-18,true,
79,Christabella,Female,1998-04-22,true,mastercard
80,Julietta,Female,1984-11-15,false,switch
81,Hieronymus,Male,1961-09-11,true,jcb
82,Brandea,Female,1967-06-02,true,americanexpress
83,Norma,Female,1984-01-20,true,switch
84,Jarred,Male,1952-03-10,false,americanexpress
85,Rustin,Male,1959-07-02,true,jcb
86,Kris,Male,1974-08-17,true,jcb
87,Cristie,Female,1953-04-19,true,diners-club-carte-blanche
88,Maxine,Female,1979-03-17,true,mastercard
89,Karlis,Male,1975-04-08,false,jcb
90,Othella,Female,1993-03-26,false,mastercard
91,Orsola,Female,1991-10-11,true,diners-club-enroute
92,Maximilianus,Male,1992-05-01,false,jcb
93,Denny,Male,1991-01-15,false,jcb
94,Judas,Male,2000-06-28,false,americanexpress
95,Nicholle,Female,1970-07-04,true,china-unionpay
96,Jewelle,Female,1982-03-05,false,jcb
97,Sanford,Male,1987-01-25,false,diners-club-us-ca
98,Ailey,Female,1977-12-20,true,visa-electron
99,Margy,Female,1951-09-09,false,jcb
